Frequency (THz),Background Power Spectrum,Sample Power Spectrum
0.102996826171875,14.519587027857272,4.538010651785315
0.1068115234375,8.279396443445611,5.427215945047918
0.110626220703125,28.965943214232084,26.62214483610047
0.11444091796875,17.075821103414437,22.90705986128932
0.118255615234375,88.40920620985524,92.37120823879644
0.1220703125,101.05623384968844,80.19172592891015
0.125885009765625,138.68415131133847,73.70424974925663
0.12969970703125,238.75499807109048,127.06986089148093
0.133514404296875,147.51477465136435,108.09987184621322
0.1373291015625,120.26574755263815,93.71391591365875
0.141143798828125,233.47608512523485,223.69400767586578
0.14495849609375,207.03460854169015,149.97740140822998
0.148773193359375,278.14876768035003,177.27425882623618
0.152587890625,356.33671061495846,200.6332569360437
0.156402587890625,193.3490031669016,129.20755794129397
0.16021728515625,293.1963208975445,198.89457883070497
0.164031982421875,251.5041055700524,183.8054312781317
0.1678466796875,502.6337554343014,313.76162632857023
0.171661376953125,606.1080703421449,361.5057196131749
0.17547607421875,460.1989653335174,234.05150535800337
0.179290771484375,718.5495691549058,341.82822696027114
0.18310546875,591.1141861617621,294.48011297516297
0.186920166015625,651.9880388862515,325.6600743551749
0.19073486328125,653.4005758528383,390.6578111093047
0.194549560546875,867.1280310538583,446.18433224929487
0.1983642578125,703.9887228590168,396.74046962151675
0.202178955078125,905.6060464797409,426.0260973544521
0.20599365234375,1028.9517566759177,494.2354022430656
0.209808349609375,984.8710936347331,436.1691703966686
0.213623046875,1240.8603214686832,585.4276816553869
0.217437744140625,1178.623647794948,524.1802554471524
0.22125244140625,1445.9953928270454,668.0130780106188
0.225067138671875,1505.5576211846183,643.8826677114645
0.2288818359375,2114.627971295561,846.3823786365247
0.232696533203125,2011.2856121395935,751.4944237685665
0.23651123046875,2090.470693309447,698.552794771339
0.240325927734375,2640.768149866618,862.7135392430806
0.244140625,2121.8975142307777,699.8824552970976
0.247955322265625,2425.109396611672,824.3685423981138
0.25177001953125,2163.869581212599,673.71033491034
0.255584716796875,2498.7040637637706,738.3975687438353
0.2593994140625,2702.2379155046942,667.9834126269384
0.263214111328125,2443.934526454625,614.9040146829091
0.26702880859375,3410.661768628165,753.5636500718407
0.270843505859375,2781.435675704353,625.186203091496
0.274658203125,3514.982995500978,734.7498969096874
0.278472900390625,3420.4299413467083,697.2679221728653
0.28228759765625,3614.49547784314,658.5325057344027
0.286102294921875,4166.297308872638,687.1437702361148
0.2899169921875,3781.5598448046803,560.3515725908375
0.293731689453125,3929.2853437848858,535.9831482730013
0.29754638671875,3763.554772464277,482.2355402475048
0.301361083984375,4069.3905598211895,512.6361772554949
0.30517578125,3585.645146480237,414.39299387476825
0.308990478515625,4187.219937699256,409.25001656651256
0.31280517578125,3929.6556176221948,356.8471208675534
0.316619873046875,4307.9046384582,330.90040816229424
0.3204345703125,4398.839683590447,302.44188851404175
0.324249267578125,4637.302984827931,259.01749113344187
0.32806396484375,5020.771955961713,250.24673771408794
0.331878662109375,4861.361904852193,224.78339224251312
0.335693359375,5476.953245783672,205.804624611863
0.339508056640625,4955.221083070904,145.53588359291476
0.34332275390625,5440.149123938756,138.59571984491066
0.347137451171875,5361.361554997775,100.75299680557666
0.3509521484375,4983.1216160672975,78.40800900580992
0.354766845703125,5858.416726928494,65.4333946870096
0.35858154296875,5063.76352191981,44.687454912183924
0.362396240234375,6135.4768614368,38.28159313755964
0.3662109375,5688.521157697467,27.182240228338927
0.370025634765625,6234.819064535933,29.704122954422953
0.37384033203125,7124.597523857388,27.469415929592266
0.377655029296875,7070.6431206590505,43.933344033668696
0.3814697265625,7845.296969047668,53.77638782707836
0.385284423828125,7488.736469320394,77.16463699498836
0.38909912109375,8104.895178255946,110.42308283309437
0.392913818359375,7447.00518507634,142.97902076934525
0.396728515625,7935.380261676653,197.3431841041335
0.400543212890625,7717.305521796592,247.7348813580436
0.40435791015625,7553.971868768734,304.61297989364795
0.408172607421875,7873.910439127679,367.02252668881073
0.4119873046875,7484.954280830139,419.16727220099517
0.415802001953125,7813.337267010744,551.7951656357063
0.41961669921875,7469.682906124927,586.9562385268076
0.423431396484375,7982.127690360681,758.4483565059351
0.42724609375,8501.857317552742,894.6799401745559
0.431060791015625,8407.319871659838,995.1295016852162
0.43487548828125,8983.404157256784,1171.3011611187583
0.438690185546875,8565.298776351523,1211.7063887709621
0.4425048828125,9171.316107232577,1465.6907483316013
0.446319580078125,8330.526249448241,1488.4857348539479
0.45013427734375,8389.545027930706,1620.063598277746
0.453948974609375,8389.417019178467,1723.0093344673066
0.457763671875,8417.97375744324,1816.9930992831596
0.461578369140625,8644.300728489236,2033.0059755401073
0.46539306640625,8328.452609904669,2064.6271959100864
0.469207763671875,8686.171451868944,2331.312509931185
0.4730224609375,8791.137288143946,2520.221715954469
0.476837158203125,9227.219363840579,2716.915952079036
0.48065185546875,9412.073842891474,2956.032933034489
0.484466552734375,9794.377977884502,3160.5336288583317
0.48828125,9979.224015989726,3438.622981167793
0.492095947265625,9704.093325349702,3370.6102128626217
0.49591064453125,10107.30039510984,3767.389295365205
0.499725341796875,9753.887249774223,3798.636297161693
0.5035400390625,9945.322102505388,3959.9245027107745
0.507354736328125,9774.334458201587,4044.7417219354206
0.51116943359375,10005.736049722187,4270.027235105512
0.514984130859375,10134.664962700974,4390.452413842738
0.518798828125,9984.782304937744,4562.18861541813
0.522613525390625,9940.892486211182,4611.350295962628
0.52642822265625,10005.063261907673,4819.44115858561
0.530242919921875,10052.43171772049,4972.411411505235
0.5340576171875,9538.373901213565,4871.734232004444
0.537872314453125,9963.583126246054,5087.187768380826
